 - "A total of %1 Renewals have been deleted.","A total of %1 Renewals have been deleted."
 - "Add New Renewal","Add New Renewal"
 - "An error occurred while deleting Renewals.","An error occurred while deleting Renewals."
 - "Are you sure you wan't to delete selected Renewals?","Are you sure you wan't to delete selected Renewals?"
 - "Are you sure you wan\'t to delete the Renewal ""${ $.$data.name }"" ?","Are you sure you wan\'t to delete the Renewal ""${ $.$data.name }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Back","Back"
 - "Beecart","Beecart"
 - "Could not save the Renewal: %1","Could not save the Renewal: %1"
 - "Create New Renewal","Create New Renewal"
 - "Created","Created"
 - "Date","Date"
 - "Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
 - "Delete Renewal","Delete Renewal"
 - "Delete Renewals","Delete Renewals"
 - "Delete","Delete"
 - "Edit Renewal","Edit Renewal"
 - "Edit","Edit"
 - "Expiration_date","Expiration_date"
 - "ID","ID"
 - "Manage Renewals","Manage Renewals"
 - "Name","Name"
 - "New Renewal","New Renewal"
 - "Please correct the data sent.","Please correct the data sent."
 - "Renewal Information","Renewal Information"
 - "Renewals","Renewals"
 - "Requested Renewal doesn\'t exist","Requested Renewal doesn\'t exist"
 - "Reset","Reset"
 - "Save Renewal","Save Renewal"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Something went wrong while saving the Renewal.","Something went wrong while saving the Renewal."
 - "Status","Status"
 - "The Renewal has been deleted.","The Renewal has been deleted."
 - "The Renewal no longer exists.","The Renewal no longer exists."
 - "There was a problem deleting the Renewal","There was a problem deleting the Renewal"
 - "There was a problem saving the Renewal","There was a problem saving the Renewal"
 - "Unable to remove Renewal %1","Unable to remove Renewal %1"
 - "Updated","Updated"
 - "We can\'t find a Renewal to delete.","We can\'t find a Renewal to delete."
 - "You saved the Renewal","You saved the Renewal"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Please Select Renewals.","Please Select Renewals."
"Renewal %1","Renewal %1"
"Renewal to delete was not found.","Renewal to delete was not found."
"Renewal","Renewal"
"Something went wrong while saving the Renewal.","Something went wrong while saving the Renewal."
"The Renewal has been deleted.","The Renewal has been deleted."
"The Renewal has been saved.","The Renewal has been saved."
"This Renewal no longer exists.","This Renewal no longer exists."
